DATE,DPRIME
2007-12-31,7.25
2008-01-01,.
2008-01-02,7.25
2008-01-03,7.25
2008-01-04,7.25
2008-01-07,7.25
2008-01-08,7.25
2008-01-09,7.25
2008-01-10,7.25
2008-01-11,7.25
2008-01-14,7.25
2008-01-15,7.25
2008-01-16,7.25
2008-01-17,7.25
2008-01-18,7.25
2008-01-21,.
2008-01-22,6.50
2008-01-23,6.50
2008-01-24,6.50
2008-01-25,6.50
2008-01-28,6.50
2008-01-29,6.50
2008-01-30,6.00
2008-01-31,6.00
2008-02-01,6.00
2008-02-04,6.00
2008-02-05,6.00
2008-02-06,6.00
2008-02-07,6.00
2008-02-08,6.00
2008-02-11,6.00
2008-02-12,6.00
2008-02-13,6.00
2008-02-14,6.00
2008-02-15,6.00
2008-02-18,.
2008-02-19,6.00
2008-02-20,6.00
2008-02-21,6.00
2008-02-22,6.00
2008-02-25,6.00
2008-02-26,6.00
2008-02-27,6.00
2008-02-28,6.00
2008-02-29,6.00
2008-03-03,6.00
2008-03-04,6.00
2008-03-05,6.00
2008-03-06,6.00
2008-03-07,6.00
2008-03-10,6.00
2008-03-11,6.00
2008-03-12,6.00
2008-03-13,6.00
2008-03-14,6.00
2008-03-17,6.00
2008-03-18,5.25
2008-03-19,5.25
2008-03-20,5.25
2008-03-21,5.25
2008-03-24,5.25
2008-03-25,5.25
2008-03-26,5.25
2008-03-27,5.25
2008-03-28,5.25
2008-03-31,5.25
2008-04-01,5.25
2008-04-02,5.25
2008-04-03,5.25
2008-04-04,5.25
2008-04-07,5.25
2008-04-08,5.25
2008-04-09,5.25
2008-04-10,5.25
2008-04-11,5.25
2008-04-14,5.25
2008-04-15,5.25
2008-04-16,5.25
2008-04-17,5.25
2008-04-18,5.25
2008-04-21,5.25
2008-04-22,5.25
2008-04-23,5.25
2008-04-24,5.25
2008-04-25,5.25
2008-04-28,5.25
2008-04-29,5.25
2008-04-30,5.00
2008-05-01,5.00
2008-05-02,5.00
2008-05-05,5.00
2008-05-06,5.00
2008-05-07,5.00
2008-05-08,5.00
2008-05-09,5.00
2008-05-12,5.00
2008-05-13,5.00
2008-05-14,5.00
2008-05-15,5.00
2008-05-16,5.00
2008-05-19,5.00
2008-05-20,5.00
2008-05-21,5.00
2008-05-22,5.00
2008-05-23,5.00
2008-05-26,.
2008-05-27,5.00
2008-05-28,5.00
2008-05-29,5.00
2008-05-30,5.00
2008-06-02,5.00
2008-06-03,5.00
2008-06-04,5.00
2008-06-05,5.00
2008-06-06,5.00
2008-06-09,5.00
2008-06-10,5.00
2008-06-11,5.00
2008-06-12,5.00
2008-06-13,5.00
2008-06-16,5.00
2008-06-17,5.00
2008-06-18,5.00
2008-06-19,5.00
2008-06-20,5.00
2008-06-23,5.00
2008-06-24,5.00
2008-06-25,5.00
2008-06-26,5.00
2008-06-27,5.00
2008-06-30,5.00
2008-07-01,5.00
2008-07-02,5.00
2008-07-03,5.00
2008-07-04,.
2008-07-07,5.00
2008-07-08,5.00
2008-07-09,5.00
2008-07-10,5.00
2008-07-11,5.00
2008-07-14,5.00
2008-07-15,5.00
2008-07-16,5.00
2008-07-17,5.00
2008-07-18,5.00
2008-07-21,5.00
2008-07-22,5.00
2008-07-23,5.00
2008-07-24,5.00
2008-07-25,5.00
2008-07-28,5.00
2008-07-29,5.00
2008-07-30,5.00
2008-07-31,5.00
2008-08-01,5.00
2008-08-04,5.00
2008-08-05,5.00
2008-08-06,5.00
2008-08-07,5.00
2008-08-08,5.00
2008-08-11,5.00
2008-08-12,5.00
2008-08-13,5.00
2008-08-14,5.00
2008-08-15,5.00
2008-08-18,5.00
2008-08-19,5.00
2008-08-20,5.00
2008-08-21,5.00
2008-08-22,5.00
2008-08-25,5.00
2008-08-26,5.00
2008-08-27,5.00
2008-08-28,5.00
2008-08-29,5.00
2008-09-01,.
2008-09-02,5.00
2008-09-03,5.00
2008-09-04,5.00
2008-09-05,5.00
2008-09-08,5.00
2008-09-09,5.00
2008-09-10,5.00
2008-09-11,5.00
2008-09-12,5.00
2008-09-15,5.00
2008-09-16,5.00
2008-09-17,5.00
2008-09-18,5.00
2008-09-19,5.00
2008-09-22,5.00
2008-09-23,5.00
2008-09-24,5.00
2008-09-25,5.00
2008-09-26,5.00
2008-09-29,5.00
2008-09-30,5.00
2008-10-01,5.00
2008-10-02,5.00
2008-10-03,5.00
2008-10-06,5.00
2008-10-07,5.00
2008-10-08,4.50
2008-10-09,4.50
2008-10-10,4.50
2008-10-13,.
2008-10-14,4.50
2008-10-15,4.50
2008-10-16,4.50
2008-10-17,4.50
2008-10-20,4.50
2008-10-21,4.50
2008-10-22,4.50
2008-10-23,4.50
2008-10-24,4.50
2008-10-27,4.50
2008-10-28,4.50
2008-10-29,4.00
2008-10-30,4.00
2008-10-31,4.00
2008-11-03,4.00
2008-11-04,4.00
2008-11-05,4.00
2008-11-06,4.00
2008-11-07,4.00
2008-11-10,4.00
2008-11-11,4.00
2008-11-12,4.00
2008-11-13,4.00
2008-11-14,4.00
2008-11-17,4.00
2008-11-18,4.00
2008-11-19,4.00
2008-11-20,4.00
2008-11-21,4.00
2008-11-24,4.00
2008-11-25,4.00
2008-11-26,4.00
2008-11-27,.
2008-11-28,4.00
2008-12-01,4.00
2008-12-02,4.00
2008-12-03,4.00
2008-12-04,4.00
2008-12-05,4.00
2008-12-08,4.00
2008-12-09,4.00
2008-12-10,4.00
2008-12-11,4.00
2008-12-12,4.00
2008-12-15,4.00
2008-12-16,3.25
2008-12-17,3.25
2008-12-18,3.25
2008-12-19,3.25
2008-12-22,3.25
2008-12-23,3.25
2008-12-24,3.25
2008-12-25,3.25
2008-12-26,3.25
2008-12-29,3.25
2008-12-30,3.25
2008-12-31,3.25
2009-01-01,3.25
2009-01-02,3.25
2009-01-05,3.25
2009-01-06,3.25
2009-01-07,3.25
2009-01-08,3.25
2009-01-09,3.25
2009-01-12,3.25
2009-01-13,3.25
2009-01-14,3.25
2009-01-15,3.25
2009-01-16,3.25
2009-01-19,.
2009-01-20,3.25
2009-01-21,3.25
2009-01-22,3.25
2009-01-23,3.25
2009-01-26,3.25
2009-01-27,3.25
2009-01-28,3.25
2009-01-29,3.25
2009-01-30,3.25
2009-02-02,3.25
2009-02-03,3.25
2009-02-04,3.25
2009-02-05,3.25
2009-02-06,3.25
2009-02-09,3.25
2009-02-10,3.25
2009-02-11,3.25
2009-02-12,3.25
2009-02-13,3.25
2009-02-16,.
2009-02-17,3.25
2009-02-18,3.25
2009-02-19,3.25
2009-02-20,3.25
2009-02-23,3.25
2009-02-24,3.25
2009-02-25,3.25
2009-02-26,3.25
2009-02-27,3.25
2009-03-02,3.25
2009-03-03,3.25
2009-03-04,3.25
2009-03-05,3.25
2009-03-06,3.25
2009-03-09,3.25
2009-03-10,3.25
2009-03-11,3.25
2009-03-12,3.25
2009-03-13,3.25
2009-03-16,3.25
2009-03-17,3.25
2009-03-18,3.25
2009-03-19,3.25
2009-03-20,3.25
2009-03-23,3.25
2009-03-24,3.25
2009-03-25,3.25
2009-03-26,3.25
2009-03-27,3.25
2009-03-30,3.25
2009-03-31,3.25
2009-04-01,3.25
2009-04-02,3.25
2009-04-03,3.25
2009-04-06,3.25
2009-04-07,3.25
2009-04-08,3.25
2009-04-09,3.25
2009-04-10,3.25
2009-04-13,3.25
2009-04-14,3.25
2009-04-15,3.25
2009-04-16,3.25
2009-04-17,3.25
2009-04-20,3.25
2009-04-21,3.25
2009-04-22,3.25
2009-04-23,3.25
2009-04-24,3.25
2009-04-27,3.25
2009-04-28,3.25
2009-04-29,3.25
2009-04-30,3.25
2009-05-01,3.25
2009-05-04,3.25
2009-05-05,3.25
2009-05-06,3.25
2009-05-07,3.25
2009-05-08,3.25
2009-05-11,3.25
2009-05-12,3.25
2009-05-13,3.25
2009-05-14,3.25
2009-05-15,3.25
2009-05-18,3.25
2009-05-19,3.25
2009-05-20,3.25
2009-05-21,3.25
2009-05-22,3.25
2009-05-25,.
2009-05-26,3.25
2009-05-27,3.25
2009-05-28,3.25
2009-05-29,3.25
2009-06-01,3.25
2009-06-02,3.25
2009-06-03,3.25
2009-06-04,3.25
2009-06-05,3.25
2009-06-08,3.25
2009-06-09,3.25
2009-06-10,3.25
2009-06-11,3.25
2009-06-12,3.25
2009-06-15,3.25
2009-06-16,3.25
2009-06-17,3.25
2009-06-18,3.25
2009-06-19,3.25
2009-06-22,3.25
2009-06-23,3.25
2009-06-24,3.25
2009-06-25,3.25
2009-06-26,3.25
2009-06-29,3.25
2009-06-30,3.25
2009-07-01,3.25
2009-07-02,3.25
2009-07-03,.
2009-07-06,3.25
2009-07-07,3.25
2009-07-08,3.25
2009-07-09,3.25
2009-07-10,3.25
2009-07-13,3.25
2009-07-14,3.25
2009-07-15,3.25
2009-07-16,3.25
2009-07-17,3.25
2009-07-20,3.25
2009-07-21,3.25
2009-07-22,3.25
2009-07-23,3.25
2009-07-24,3.25
2009-07-27,3.25
2009-07-28,3.25
2009-07-29,3.25
2009-07-30,3.25
2009-07-31,3.25
2009-08-03,3.25
2009-08-04,3.25
2009-08-05,3.25
2009-08-06,3.25
2009-08-07,3.25
2009-08-10,3.25
2009-08-11,3.25
2009-08-12,3.25
2009-08-13,3.25
2009-08-14,3.25
2009-08-17,3.25
2009-08-18,3.25
2009-08-19,3.25
2009-08-20,3.25
2009-08-21,3.25
2009-08-24,3.25
2009-08-25,3.25
2009-08-26,3.25
2009-08-27,3.25
2009-08-28,3.25
2009-08-31,3.25
2009-09-01,3.25
2009-09-02,3.25
2009-09-03,3.25
2009-09-04,3.25
2009-09-07,.
2009-09-08,3.25
2009-09-09,3.25
2009-09-10,3.25
2009-09-11,3.25
2009-09-14,3.25
2009-09-15,3.25
2009-09-16,3.25
2009-09-17,3.25
2009-09-18,3.25
2009-09-21,3.25
2009-09-22,3.25
2009-09-23,3.25
2009-09-24,3.25
2009-09-25,3.25
2009-09-28,3.25
2009-09-29,3.25
2009-09-30,3.25
2009-10-01,3.25
2009-10-02,3.25
2009-10-05,3.25
2009-10-06,3.25
2009-10-07,3.25
2009-10-08,3.25
2009-10-09,3.25
2009-10-12,.
2009-10-13,3.25
2009-10-14,3.25
2009-10-15,3.25
2009-10-16,3.25
2009-10-19,3.25
2009-10-20,3.25
2009-10-21,3.25
2009-10-22,3.25
2009-10-23,3.25
2009-10-26,3.25
2009-10-27,3.25
2009-10-28,3.25
2009-10-29,3.25
2009-10-30,3.25
2009-11-02,3.25
2009-11-03,3.25
2009-11-04,3.25
2009-11-05,3.25
2009-11-06,3.25
2009-11-09,3.25
2009-11-10,3.25
2009-11-11,.
2009-11-12,3.25
2009-11-13,3.25
2009-11-16,3.25
2009-11-17,3.25
2009-11-18,3.25
2009-11-19,3.25
2009-11-20,3.25
2009-11-23,3.25
2009-11-24,3.25
2009-11-25,3.25
2009-11-26,.
2009-11-27,3.25
2009-11-30,3.25
2009-12-01,3.25
2009-12-02,3.25
2009-12-03,3.25
2009-12-04,3.25
2009-12-07,3.25
2009-12-08,3.25
2009-12-09,3.25
2009-12-10,3.25
2009-12-11,3.25
2009-12-14,3.25
2009-12-15,3.25
2009-12-16,3.25
2009-12-17,3.25
2009-12-18,3.25
2009-12-21,3.25
2009-12-22,3.25
2009-12-23,3.25
2009-12-24,3.25
2009-12-25,.
2009-12-28,3.25
2009-12-29,3.25
2009-12-30,3.25
2009-12-31,3.25
2010-01-01,.
2010-01-04,3.25
2010-01-05,3.25
2010-01-06,3.25
2010-01-07,3.25
2010-01-08,3.25
2010-01-11,3.25
2010-01-12,3.25
2010-01-13,3.25
2010-01-14,3.25
2010-01-15,3.25
2010-01-18,.
2010-01-19,3.25
2010-01-20,3.25
2010-01-21,3.25
2010-01-22,3.25
2010-01-25,3.25
2010-01-26,3.25
2010-01-27,3.25
2010-01-28,3.25
2010-01-29,3.25
2010-02-01,3.25
2010-02-02,3.25
2010-02-03,3.25
2010-02-04,3.25
2010-02-05,3.25
2010-02-08,3.25
2010-02-09,3.25
2010-02-10,3.25
2010-02-11,3.25
2010-02-12,3.25
2010-02-15,.
2010-02-16,3.25
2010-02-17,3.25
2010-02-18,3.25
2010-02-19,3.25
2010-02-22,3.25
2010-02-23,3.25
2010-02-24,3.25
2010-02-25,3.25
2010-02-26,3.25
2010-03-01,3.25
2010-03-02,3.25
2010-03-03,3.25
2010-03-04,3.25
2010-03-05,3.25
2010-03-08,3.25
2010-03-09,3.25
2010-03-10,3.25
2010-03-11,3.25
2010-03-12,3.25
2010-03-15,3.25
2010-03-16,3.25
2010-03-17,3.25
2010-03-18,3.25
2010-03-19,3.25
2010-03-22,3.25
2010-03-23,3.25
2010-03-24,3.25
2010-03-25,3.25
2010-03-26,3.25
2010-03-29,3.25
2010-03-30,3.25
2010-03-31,3.25
2010-04-01,3.25
2010-04-02,3.25
2010-04-05,3.25
2010-04-06,3.25
2010-04-07,3.25
2010-04-08,3.25
2010-04-09,3.25
2010-04-12,3.25
2010-04-13,3.25
2010-04-14,3.25
2010-04-15,3.25
2010-04-16,3.25
2010-04-19,3.25
2010-04-20,3.25
2010-04-21,3.25
2010-04-22,3.25
2010-04-23,3.25
2010-04-26,3.25
2010-04-27,3.25
2010-04-28,3.25
2010-04-29,3.25
2010-04-30,3.25
2010-05-03,3.25
2010-05-04,3.25
2010-05-05,3.25
2010-05-06,3.25
2010-05-07,3.25
2010-05-10,3.25
2010-05-11,3.25
2010-05-12,3.25
2010-05-13,3.25
2010-05-14,3.25
2010-05-17,3.25
2010-05-18,3.25
2010-05-19,3.25
2010-05-20,3.25
2010-05-21,3.25
2010-05-24,3.25
2010-05-25,3.25
2010-05-26,3.25
2010-05-27,3.25
2010-05-28,3.25
2010-05-31,.
2010-06-01,3.25
2010-06-02,3.25
2010-06-03,3.25
2010-06-04,3.25
2010-06-07,3.25
2010-06-08,3.25
2010-06-09,3.25
2010-06-10,3.25
2010-06-11,3.25
2010-06-14,3.25
2010-06-15,3.25
2010-06-16,3.25
2010-06-17,3.25
2010-06-18,3.25
2010-06-21,3.25
2010-06-22,3.25
2010-06-23,3.25
2010-06-24,3.25
2010-06-25,3.25
2010-06-28,3.25
2010-06-29,3.25
2010-06-30,3.25
2010-07-01,3.25
2010-07-02,3.25
2010-07-05,.
2010-07-06,3.25
2010-07-07,3.25
2010-07-08,3.25
2010-07-09,3.25
2010-07-12,3.25
2010-07-13,3.25
2010-07-14,3.25
2010-07-15,3.25
2010-07-16,3.25
2010-07-19,3.25
2010-07-20,3.25
2010-07-21,3.25
2010-07-22,3.25
2010-07-23,3.25
2010-07-26,3.25
2010-07-27,3.25
2010-07-28,3.25
2010-07-29,3.25
2010-07-30,3.25
2010-08-02,3.25
2010-08-03,3.25
2010-08-04,3.25
2010-08-05,3.25
2010-08-06,3.25
2010-08-09,3.25
2010-08-10,3.25
2010-08-11,3.25
2010-08-12,3.25
2010-08-13,3.25
2010-08-16,3.25
2010-08-17,3.25
2010-08-18,3.25
2010-08-19,3.25
2010-08-20,3.25
2010-08-23,3.25
2010-08-24,3.25
2010-08-25,3.25
2010-08-26,3.25
2010-08-27,3.25
2010-08-30,3.25
2010-08-31,3.25
2010-09-01,3.25
2010-09-02,3.25
2010-09-03,3.25
2010-09-06,.
2010-09-07,3.25
2010-09-08,3.25
2010-09-09,3.25
2010-09-10,3.25
2010-09-13,3.25
2010-09-14,3.25
2010-09-15,3.25
2010-09-16,3.25
2010-09-17,3.25
2010-09-20,3.25
2010-09-21,3.25
2010-09-22,3.25
2010-09-23,3.25
2010-09-24,3.25
2010-09-27,3.25
2010-09-28,3.25
2010-09-29,3.25
2010-09-30,3.25
2010-10-01,3.25
2010-10-04,3.25
2010-10-05,3.25
2010-10-06,3.25
2010-10-07,3.25
2010-10-08,3.25
2010-10-11,.
2010-10-12,3.25
2010-10-13,3.25
2010-10-14,3.25
2010-10-15,3.25
2010-10-18,3.25
2010-10-19,3.25
2010-10-20,3.25
2010-10-21,3.25
2010-10-22,3.25
2010-10-25,3.25
2010-10-26,3.25
2010-10-27,3.25
2010-10-28,3.25
2010-10-29,3.25
2010-11-01,3.25
2010-11-02,3.25
2010-11-03,3.25
2010-11-04,3.25
2010-11-05,3.25
2010-11-08,3.25
2010-11-09,3.25
2010-11-10,3.25
2010-11-11,.
2010-11-12,3.25
2010-11-15,3.25
2010-11-16,3.25
2010-11-17,3.25
2010-11-18,3.25
2010-11-19,3.25
2010-11-22,3.25
2010-11-23,3.25
2010-11-24,3.25
2010-11-25,.
2010-11-26,3.25
2010-11-29,3.25
2010-11-30,3.25
2010-12-01,3.25
2010-12-02,3.25
2010-12-03,3.25
2010-12-06,3.25
2010-12-07,3.25
2010-12-08,3.25
2010-12-09,3.25
2010-12-10,3.25
2010-12-13,3.25
2010-12-14,3.25
2010-12-15,3.25
2010-12-16,3.25
2010-12-17,3.25
2010-12-20,3.25
2010-12-21,3.25
2010-12-22,3.25
2010-12-23,3.25
2010-12-24,3.25
2010-12-27,3.25
2010-12-28,3.25
2010-12-29,3.25
2010-12-30,3.25
2010-12-31,3.25
2011-01-03,3.25
2011-01-04,3.25
2011-01-05,3.25
2011-01-06,3.25
2011-01-07,3.25
2011-01-10,3.25
2011-01-11,3.25
2011-01-12,3.25
2011-01-13,3.25
2011-01-14,3.25
2011-01-17,.
2011-01-18,3.25
2011-01-19,3.25
2011-01-20,3.25
2011-01-21,3.25
2011-01-24,3.25
2011-01-25,3.25
2011-01-26,3.25
2011-01-27,3.25
2011-01-28,3.25
2011-01-31,3.25
2011-02-01,3.25
2011-02-02,3.25
2011-02-03,3.25
2011-02-04,3.25
2011-02-07,3.25
2011-02-08,3.25
2011-02-09,3.25
2011-02-10,3.25
2011-02-11,3.25
2011-02-14,3.25
2011-02-15,3.25
2011-02-16,3.25
2011-02-17,3.25
2011-02-18,3.25
2011-02-21,.
2011-02-22,3.25
2011-02-23,3.25
2011-02-24,3.25
2011-02-25,3.25
2011-02-28,3.25
2011-03-01,3.25
2011-03-02,3.25
2011-03-03,3.25
2011-03-04,3.25
2011-03-07,3.25
2011-03-08,3.25
2011-03-09,3.25
2011-03-10,3.25
2011-03-11,3.25
2011-03-14,3.25
2011-03-15,3.25
2011-03-16,3.25
2011-03-17,3.25
2011-03-18,3.25
2011-03-21,3.25
2011-03-22,3.25
2011-03-23,3.25
2011-03-24,3.25
2011-03-25,3.25
2011-03-28,3.25
2011-03-29,3.25
2011-03-30,3.25
2011-03-31,3.25
2011-04-01,3.25
2011-04-04,3.25
2011-04-05,3.25
2011-04-06,3.25
2011-04-07,3.25
2011-04-08,3.25
2011-04-11,3.25
2011-04-12,3.25
2011-04-13,3.25
2011-04-14,3.25
2011-04-15,3.25
2011-04-18,3.25
2011-04-19,3.25
2011-04-20,3.25
2011-04-21,3.25
2011-04-22,3.25
2011-04-25,3.25
2011-04-26,3.25
2011-04-27,3.25
2011-04-28,3.25
2011-04-29,3.25
2011-05-02,3.25
2011-05-03,3.25
2011-05-04,3.25
2011-05-05,3.25
2011-05-06,3.25
2011-05-09,3.25
2011-05-10,3.25
2011-05-11,3.25
2011-05-12,3.25
2011-05-13,3.25
2011-05-16,3.25
2011-05-17,3.25
2011-05-18,3.25
2011-05-19,3.25
2011-05-20,3.25
2011-05-23,3.25
2011-05-24,3.25
2011-05-25,3.25
2011-05-26,3.25
2011-05-27,3.25
2011-05-30,.
2011-05-31,3.25
2011-06-01,3.25
2011-06-02,3.25
2011-06-03,3.25
2011-06-06,3.25
2011-06-07,3.25
2011-06-08,3.25
2011-06-09,3.25
2011-06-10,3.25
2011-06-13,3.25
2011-06-14,3.25
2011-06-15,3.25
2011-06-16,3.25
2011-06-17,3.25
2011-06-20,3.25
2011-06-21,3.25
2011-06-22,3.25
2011-06-23,3.25
2011-06-24,3.25
2011-06-27,3.25
2011-06-28,3.25
2011-06-29,3.25
2011-06-30,3.25
2011-07-01,3.25
2011-07-04,.
2011-07-05,3.25
2011-07-06,3.25
2011-07-07,3.25
2011-07-08,3.25
2011-07-11,3.25
2011-07-12,3.25
2011-07-13,3.25
2011-07-14,3.25
2011-07-15,3.25
2011-07-18,3.25
2011-07-19,3.25
2011-07-20,3.25
2011-07-21,3.25
2011-07-22,3.25
2011-07-25,3.25
2011-07-26,3.25
2011-07-27,3.25
2011-07-28,3.25
2011-07-29,3.25
2011-08-01,3.25
2011-08-02,3.25
2011-08-03,3.25
2011-08-04,3.25
2011-08-05,3.25
2011-08-08,3.25
2011-08-09,3.25
2011-08-10,3.25
2011-08-11,3.25
2011-08-12,3.25
2011-08-15,3.25
2011-08-16,3.25
2011-08-17,3.25
2011-08-18,3.25
2011-08-19,3.25
2011-08-22,3.25
2011-08-23,3.25
2011-08-24,3.25
2011-08-25,3.25
2011-08-26,3.25
2011-08-29,3.25
2011-08-30,3.25
2011-08-31,3.25
2011-09-01,3.25
2011-09-02,3.25
2011-09-05,.
2011-09-06,3.25
2011-09-07,3.25
2011-09-08,3.25
2011-09-09,3.25
2011-09-12,3.25
2011-09-13,3.25
2011-09-14,3.25
2011-09-15,3.25
2011-09-16,3.25
2011-09-19,3.25
2011-09-20,3.25
2011-09-21,3.25
2011-09-22,3.25
2011-09-23,3.25
2011-09-26,3.25
2011-09-27,3.25
2011-09-28,3.25
2011-09-29,3.25
2011-09-30,3.25
2011-10-03,3.25
2011-10-04,3.25
2011-10-05,3.25
2011-10-06,3.25
2011-10-07,3.25
2011-10-10,.
2011-10-11,3.25
2011-10-12,3.25
2011-10-13,3.25
2011-10-14,3.25
2011-10-17,3.25
2011-10-18,3.25
2011-10-19,3.25
2011-10-20,3.25
2011-10-21,3.25
2011-10-24,3.25
2011-10-25,3.25
2011-10-26,3.25
2011-10-27,3.25
2011-10-28,3.25
2011-10-31,3.25
2011-11-01,3.25
2011-11-02,3.25
2011-11-03,3.25
2011-11-04,3.25
2011-11-07,3.25
2011-11-08,3.25
2011-11-09,3.25
2011-11-10,3.25
2011-11-11,.
2011-11-14,3.25
2011-11-15,3.25
2011-11-16,3.25
2011-11-17,3.25
2011-11-18,3.25
2011-11-21,3.25
2011-11-22,3.25
2011-11-23,3.25
2011-11-24,.
2011-11-25,3.25
2011-11-28,3.25
2011-11-29,3.25
2011-11-30,3.25
2011-12-01,3.25
2011-12-02,3.25
2011-12-05,3.25
2011-12-06,3.25
2011-12-07,3.25
2011-12-08,3.25
2011-12-09,3.25
2011-12-12,3.25
2011-12-13,3.25
2011-12-14,3.25
2011-12-15,3.25
2011-12-16,3.25
2011-12-19,3.25
2011-12-20,3.25
2011-12-21,3.25
2011-12-22,3.25
2011-12-23,3.25
2011-12-26,.
2011-12-27,3.25
2011-12-28,3.25
